STATION ID,STATION NAME,DATE,DAILY PRECIPITATION (inches),DAILY MAX TEMP (DEG F),DAILY MIN TEMP (DEG F)
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/24/1946,0.00,86,71
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/25/1946,0.00,79,55
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/26/1946,0.00,82,50
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/27/1946,0.00,84,64
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/28/1946,0.00,83,65
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/29/1946,0.00,86,67
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/30/1946,0.00,86,71
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",10/31/1946,0.00,86,72
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/1/1946,0.00,84,72
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/2/1946,0.08,80,72
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/3/1946,1.07,82,60
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/4/1946,0.00,66,58
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/5/1946,0.02,58,53
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/6/1946,0.09,68,47
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/7/1946,0.00,78,44
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/8/1946,0.01,71,46
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/9/1946,0.24,85,62
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/10/1946,0.00,65,51
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/11/1946,0.00,65,45
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/12/1946,0.00,58,49
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/13/1946,0.00,66,49
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/14/1946,0.00,72,47
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/15/1946,0.01,73,61
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/16/1946,0.33,68,51
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/17/1946,0.00,54,43
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/18/1946,0.00,54,44
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/19/1946,0.00,69,39
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/20/1946,0.00,74,42
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/21/1946,0.00,80,51
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/22/1946,0.00,66,51
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/23/1946,0.00,73,57
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/24/1946,0.00,77,61
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/25/1946,0.00,75,44
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/26/1946,0.01,61,43
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/27/1946,0.00,63,43
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/28/1946,0.00,70,39
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/29/1946,0.00,73,46
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",11/30/1946,0.00,76,52
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",12/1/1946,0.00,62,51
USW00012921,"SAN ANTONIO INTERNATIONAL AIRPORT, TX US",12/2/1946,0.00,61,39
