"Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download)"
Download Date: 07/12/2021

Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
"Location (Lat/Lon of 4-km Grid Cell Center): 29.8958 North,-97.9375 East" 
Variable List: 
aet: aet (Actual Evapotranspiration)
pet: pet (Grass Reference Evapotranspiration (ETo))
soil: soil (Soil Moisture)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
ppt: ppt (Precipitation)
********************************************************
Year,Month,aet(mm),pet(mm),soil(mm),tmax(degC),tmin(degC),ppt(mm)
2009,5,42,161.3,10.2,31.1,18.27,43.8
2009,6,14.7,204.5,9.8,35.91,22.32,15
2009,7,28.5,214.5,9.5,37.18,23.28,29.6
2009,8,33,210.2,9.1,37.4,22.71,34.4
2009,9,128.4,128.4,36.8,31.11,19.49,164.3
2009,10,103.5,103.5,109.4,26.25,14.22,185.3
2009,11,79.3,79.3,118,23.1,9.11,92.6
2009,12,57.6,57.6,121.7,14.23,2.94,64.4
2010,1,63.9,63.9,158,15.26,2.94,105.5
2010,2,60.5,60.5,184.4,14.07,2.8,91.5
2010,3,81.6,112.6,150.9,21.87,7.28,50.7
2010,4,83.8,126.2,116,25.8,13.87,51.5
2010,5,119.4,159.8,92.3,30.72,18.51,100.7
2010,6,122.8,177.3,68.1,34.11,22.99,103.8
2010,7,105.7,174.1,51.9,33.59,23.4,94.3
2010,8,16.8,199.7,42.2,37.68,23.82,7.5
2010,9,134.4,134.4,109.5,32.62,21.01,212.3
2010,10,40.8,130.7,70.8,29.42,13.35,2.2
2010,11,51.7,95.5,56.6,23.59,9.19,39.5
2010,12,34.1,78,45.5,19.23,4.61,24.3
2011,1,61.7,61.7,56.9,16.06,2.96,77
2011,2,25.8,83.3,45.4,19.32,4.66,15
2011,3,17.1,123.1,37.9,25.66,11.57,10.1
2011,4,15,175,32.6,31,16.24,10.2
2011,5,24.1,183.6,28.6,31.9,18.54,21.2
2011,6,44.3,218.2,25.5,36.67,22.61,43.3
2011,7,20.8,224.9,23.1,38.08,24.28,19.3
2011,8,13.5,224.7,21,39.27,24.41,12.1
2011,9,68.9,175,19.4,35.65,19.79,70.8
2011,10,90.4,128.2,17.9,28.81,13.8,93.6
2011,11,48.2,89.8,16.7,23.57,9.29,49.4
2011,12,60.9,60.9,47.8,16.5,5.33,96.8
2012,1,72.6,72.6,93.3,19.85,5.38,124.3
2012,2,62.1,62.1,184.8,18.8,7.93,161.7
2012,3,91.9,105.5,170.1,24.87,12.72,81.2
2012,4,80.3,150,102.6,29.42,16.01,13.5
2012,5,167.1,167.1,152.7,31.18,19.18,228.7
2012,6,92.5,193.9,83.2,35.58,22.38,24.1
2012,7,100.7,196.9,59.7,35.41,23.03,81.4
2012,8,64.6,205.5,47.1,37.19,23.14,54.7
2012,9,154,154,84.9,33.09,19.74,201.9
2012,10,65.2,116.1,64.4,27.42,14.42,47.1
2012,11,23.3,87.6,49.8,24.84,10.46,9.2
2012,12,23.5,76.4,40.9,20.58,6.11,15.3
2013,1,65.5,65.5,64.5,17.82,5.1,93.8
2013,2,26.5,80.7,49.9,20.91,6.81,12.5
2013,3,28.4,128.5,40.9,24.13,8.51,20.4
2013,4,77.1,139.2,34.8,25.94,12.4,74.7
2013,5,164.2,164.2,121.3,30.02,17.4,263.9
2013,6,110.1,187.7,74.9,34.93,22.24,67
2013,7,45.2,200.2,55.6,35.37,22.47,27.3
2013,8,35.5,200.1,44.5,37.29,22.9,25.7
2013,9,113.3,142.9,38.8,34.15,21.16,113.2
2013,10,85.2,110.6,34.6,28.01,15.03,85.2
2013,11,50.4,74.2,31.1,19.99,8.2,49.4
2013,12,28.4,62.2,27.4,16.11,3.15,26.1
2014,1,10.8,80.9,24.6,17.36,1.73,8.4
2014,2,20.6,70.9,22.3,18.57,4.93,19.2
2014,3,29.5,109.5,20.4,21.85,7.61,29.1
2014,4,17.8,141.5,18.8,27.33,13.82,17.1
2014,5,120.6,162.9,17.5,30.15,16.95,125.5
2014,6,119.1,173.1,16.3,32.94,22.26,124.1
2014,7,64.7,198.5,15.3,34.86,22.35,67.1
2014,8,13.2,204.2,14.4,36.89,22.87,13
2014,9,59.2,137,13.6,32.62,20.88,61.5
2014,10,42.6,124.2,12.9,30.12,16.4,44.1
2014,11,80.4,80.4,106.3,19.63,7.23,183
2014,12,45.7,57.1,100.3,17.76,7.76,41.9
2015,1,63.6,63.6,143.4,14.93,2.88,112.3
2015,2,42.1,67.5,123.8,16.6,4.34,23.7
2015,3,83.5,86.8,121.7,21.2,9.63,85.7
2015,4,114.1,114.1,180.7,26.48,15.81,182.2
2015,5,124.3,124.3,251.3,28.61,18.8,221.4
2015,6,151.4,157.4,240.9,32.43,21.75,148.4
2015,7,136.6,210.2,122.5,35.41,23.38,19.2
2015,8,64.3,201.5,75.2,37.06,23.08,17.9
2015,9,97.1,151,56.4,34.56,21.26,82.4
2015,10,123.3,123.3,127.8,30.19,16.05,204.9
2015,11,70.2,70.2,143.7,21.89,10.79,90.6
2015,12,58.6,70.2,134.8,20.45,6.47,52.3
2016,1,53.9,72.5,121.5,17.3,3.4,42.8
2016,2,56.8,95.8,97.3,22,6.1,34.3
2016,3,98.3,124.7,84.8,24.2,11.4,90.3
2016,4,126.3,126.3,113.4,26.5,13.9,163.1
2016,5,137.4,137.4,192.4,28.6,17.7,227.7
2016,6,132.8,170.8,148.6,33.3,21.6,93.7
2016,7,83.6,230.9,82.3,36.7,24.1,18.2
2016,8,134.2,174.4,66.7,34.8,22.9,124.9
2016,9,141.1,142.8,66.2,33.2,21.1,148
2016,10,28.7,129.5,50.9,30.7,16.4,14.1
2016,11,88.9,93.6,49.8,24.6,12.5,92.5
2016,12,79.6,79.6,134.4,17.9,7.1,172.8
2017,1,70.2,89.5,120.8,20,6.1,59.6
2017,2,92.9,107.7,111.6,23.8,10.1,88.2
2017,3,71.7,136.8,75.2,25.5,13.1,37.1
2017,4,70.3,151.7,55.8,27.7,14.6,53.5
2017,5,80.3,155,44.7,29.8,16.6,72.8
2017,6,82.6,185.3,37.4,34,21.7,79.3
2017,7,19.8,214.2,32.2,36.5,23,15.4
2017,8,109.2,184.8,28.3,34.7,22.2,110.9
2017,9,99.5,152.2,25.3,32.8,19.9,101.6
2017,10,28.9,124.7,22.9,28.5,13.5,27.9
2017,11,19.7,94.3,20.9,25,11.4,18.6
2017,12,67.6,67.6,39.1,17.1,4.6,90.3
2018,1,21.7,62.8,33.5,16.2,1.6,16.9
2018,2,51.6,72.9,30.4,19.6,8,51.1
2018,3,67.7,126.8,27,25.5,12,67.6
2018,4,23.5,135.9,24.2,26.3,11.6,21.8
2018,5,34.3,178.6,22,32.9,19.9,33.8
2018,6,52.4,204.5,20.1,35.9,23.7,53.2
2018,7,85.4,213,18.6,36.8,23.3,88.3
2018,8,18.4,200.4,17.3,36.7,23,18
2018,9,115.6,115.6,99.6,31,21.1,208.4
2018,10,96.4,96.4,172.2,25.9,15.6,177.8
2018,11,51,64.7,158.6,20,7.2,39.4
2018,12,72.2,72.2,172.3,18,4.7,90.4
2019,1,51.7,63.8,160.4,17.4,4.6,41.9
2019,2,41.2,60.2,143.4,20.2,6.9,25.5
2019,3,54.9,101.2,107.8,22.3,8.9,20.2
2019,4,98.7,131,90.5,26,12.9,85.7
2019,5,122.2,138.6,83.4,30.4,18.8,121.2
2019,6,140.4,167.2,72.8,33.8,22.1,136.7
2019,7,47.3,201.7,54.5,36.3,23.8,30.5
2019,8,55.8,212.3,43.9,37.9,24.8,47.5
2019,9,36.8,187,36.8,36.1,23.3,31.3
2019,10,119,119,37.4,28.3,14.8,125.8
2019,11,33.9,72.8,32.2,20.3,7.3,30.2
2019,12,25.7,73,28.3,19,6,23
2020,1,56.4,82.5,25.3,19.9,7,56.2
2020,2,46.3,72.6,22.9,18.3,5.3,46.2
2020,3,67.6,122,20.9,26.3,13.1,69.1
2020,4,94.2,133.9,19.2,26.6,13.4,97.4
2020,5,88.5,170.7,17.8,31,19.1,91.7
2020,6,91.3,181.8,16.6,34,22.1,94.8
2020,7,40.4,218,15.5,36.8,24.4,41.4
2020,8,12.1,213.4,14.6,37.7,24.1,11.8
2020,9,141.1,141.1,80.7,31.5,18.4,218.1
2020,10,46,118.6,58.5,27.8,14.3,25.1
2020,11,57.2,89.6,50,24.6,11.5,51.2
2020,12,69.4,74.5,48.9,18,4.9,71.9
